date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:08	194406/194406	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2009:43:06%20GMT	https://98o.976.myftpupload.com/	E:/REGENT%202/REGENT%202/98o.976.myftpupload.com/index.html	(from )
17:43:08	163573/163573	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2009:43:06%20GMT	https://98o.976.myftpupload.com/about/	E:/REGENT%202/REGENT%202/98o.976.myftpupload.com/about/index.html	(from )
17:43:09	153281/153281	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2009:43:07%20GMT	https://98o.976.myftpupload.com/services/	E:/REGENT%202/REGENT%202/98o.976.myftpupload.com/services/index.html	(from )
17:43:10	145428/145428	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2009:43:08%20GMT	https://98o.976.myftpupload.com/contact-us/	E:/REGENT%202/REGENT%202/98o.976.myftpupload.com/contact-us/index.html	(from )
17:43:10	26/26	---M--	200	added ('OK')	text/plain	date:Tue,%2026%20Nov%202024%2009:43:06%20GMT	https://98o.976.myftpupload.com/robots.txt		(from )
17:43:11	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2009:43:10%20GMT	https://gmpg.org/xfn/11	E:/REGENT%202/REGENT%202/gmpg.org/xfn/11.html	(from https://98o.976.myftpupload.com/)
17:43:11	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Nov%202024%2009:43:11%20GMT	http://fonts.googleapis.com/	E:/REGENT%202/REGENT%202/fonts.googleapis.com/index.html	(from https://98o.976.myftpupload.com/)
17:43:11	43154/43154	---M-Z	200	added ('OK')	text/css	etag:%22a892-626f9f39ca589-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.6&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/themes/astra/assets/css/minified/main.min6031.css	(from https://98o.976.myftpupload.com/)
17:43:12	194624/194624	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2004:51:38%20GMT	https://98o976.p3cdn1.secureserver.net/	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/index.html	(from https://98o.976.myftpupload.com/)
17:43:12	460/460	---MC-	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202024%2009:43:12%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A400%7CBarlow+Semi+Condensed%3A600&display=fallback&ver=4.8.6	E:/REGENT%202/REGENT%202/fonts.googleapis.com/csseb81.css	(from https://98o.976.myftpupload.com/)
17:43:13	20021/20021	---M-Z	200	added ('OK')	text/css	etag:%224e35-627b11c2b3ca0-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min8a6c.css	(from https://98o.976.myftpupload.com/)
17:43:13	60575/60575	---M-Z	200	added ('OK')	text/css	etag:%22ec9f-627b11c27f4c4-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/frontend.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:13	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-627b11c2c36a2-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min8d02.css	(from https://98o.976.myftpupload.com/)
17:43:13	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-627b11c27e524-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:14	1274/1274	---M-Z	200	added ('OK')	text/css	etag:%224fa-627b3fc0a6ed7-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-1182.css?ver=1732503841&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-1182b8f8.css	(from https://98o.976.myftpupload.com/)
17:43:14	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-627b11c2b6b80-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:14	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-627b11c2b7739-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:14	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-627b11c2869f4-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-heading.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:15	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-627b11c288934-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-text-editor.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:15	10094/10094	---M-Z	200	added ('OK')	text/css	etag:%22276e-627b11c2869f4-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-icon-box.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:15	4296/4296	---M-Z	200	added ('OK')	text/css	etag:%2210c8-627b11c285e3c-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-divider.min2d5e.css	(from https://98o.976.myftpupload.com/)
17:43:15	9929/9929	---M-Z	200	added ('OK')	text/css	etag:%2226c9-627b11c286ddc-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-icon-list.min2d5e.css	(from https://98o.976.myftpupload.com/)
